Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Koruzni njoki s toskansko omako,15,158,6,1,20 min,10 min,30 min,Kosilo,300.46 kCal
Svinjski kotleti in krompir iz pečice,7,143,4,1,15 min,1 h 30 min,1 h 45 min,Kosilo,143.6 kCal
Tiramisu z jagodami,9,255,6,1,30 min,3 min,33 min,Sladice,226.57 kCal
Potratna rolada,15,290,9,1,40 min,15 min,55 min,Priložnostno,290.91 kCal
Vanilijeva krema za košarice in ladjice,8,233,7,2,30 min,10 min,40 min,Sladice,331.66 kCal
Nagubana pita s sirom,9,63,4,1,15 min,45 min,1 h 0 min,Kaj skuhati,168.25 kCal
Puranji zrezki v naravni omaki,6,141,5,1,5 min,20 min,25 min,Kosilo,152.63 kCal
Nemški velikonočni kolač,17,262,7,1,30 min,30 min,1 h 0 min,Velika noč,346.51 kCal
Rižota s pikantno papriko in korenjem,9,78,4,1,5 min,30 min,35 min,Priloge,338.53 kCal
Ajdova rižota z gobami in špinačo,12,257,5,1,10 min,30 min,40 min,Testenine in žita,151.77 kCal
Makova roža,18,190,7,2,0 min,45 min,45 min,Sladice,404.65 kCal
Makaronovo meso (makaronflajš),12,124,5,1,10 min,40 min,50 min,Kaj skuhati,211.09 kCal
Hrustljavo pečen krompir,4,118,4,1,5 min,55 min,1 h 0 min,Priloge,68.93 kCal
Piščančji medaljoni v smetanovi omaki,8,177,6,1,5 min,16 min,21 min,Na hitro,219.01 kCal
Pečena prosena kaša z zelenjavo,17,198,6,1,15 min,50 min,1 h 5 min,Kaj skuhati,124.69 kCal
Hitro in sočno jabolčno pecivo,12,143,7,1,15 min,40 min,55 min,Sladice,261.49 kCal
Svinjski golaž s smetano in papriko,13,146,7,1,15 min,20 min,35 min,Kosilo,93.96 kCal
Puranji polpeti z zelišči,8,170,5,1,15 min,10 min,25 min,Meso,204.83 kCal
Svinjski zrezki v smetanovi omaki,7,133,4,1,3 min,20 min,23 min,Meso,167.14 kCal
Piščančja juha s palačinkinimi zvitki,16,230,7,2,20 min,2 h 0 min,2 h 20 min,Juhe in jedi na žlico,179.87 kCal
Pečena ovsena kaša z jabolki in rozinami,11,83,5,1,5 min,40 min,45 min,Zajtrk,211.5 kCal
Krhke Nutelline rolice,9,198,5,1,15 min,15 min,30 min,Sladice,425.23 kCal
Hitro orehovo pecivo z mascarpone kremo,14,73,3,1,15 min,30 min,45 min,Sladice,119.66 kCal
"Lazanja s piščancem, gobami in špinačo",14,243,8,1,15 min,55 min,1 h 10 min,Kosilo,191.69 kCal
Domača kremšnita,10,223,7,1,40 min,20 min,1 h 0 min,Pecivo,172.37 kCal
Jabolčni narastek z mandlji,15,205,5,1,10 min,25 min,35 min,Sladice,227.13 kCal
"Krompirjev narastek z zelenjavo, pršutom in sirom",13,227,9,1,15 min,55 min,1 h 10 min,Kosilo,106.01 kCal
Pohane šnite (ocvrte kruhove rezine),6,115,3,1,10 min,5 min,15 min,Slovenska,217.46 kCal
Nutelline palčke,4,124,6,1,20 min,20 min,40 min,Pecivo,331.78 kCal
Krompirjevi svaljki,8,134,6,1,30 min,35 min,1 h 5 min,Kaj skuhati,162.36 kCal
Zapečene testenine z bolonjsko omako,13,221,7,1,15 min,1 h 15 min,1 h 30 min,Kaj skuhati,182.9 kCal
Orada v pečici s krompirjem,8,184,5,1,10 min,40 min,50 min,Ribe in morski sadeži,74.29 kCal
Cheesecake z jagodami (brez peke),12,244,7,1,2 h 30 min,0 min,2 h 30 min,Sladice,296.87 kCal
Domača bolonjska omaka,12,200,5,1,10 min,1 h 5 min,1 h 15 min,Omake,143.17 kCal
Sirovi tortelini z brokolijem in slanino,7,137,3,1,10 min,10 min,20 min,Na hitro,284.71 kCal
Palačinke s skuto in rozinami,14,183,4,1,35 min,20 min,55 min,Sladice,238.03 kCal
Mongolska govedina,10,214,7,1,10 min,10 min,20 min,Azijska,206.43 kCal
Krhko pecivo s pudingovo kremo in jagodami,15,328,11,1,30 min,50 min,1 h 20 min,Sladice,249.33 kCal
Svinjska ribica s pečenim korenjem,13,122,4,1,10 min,48 min,58 min,Meso,99.83 kCal
Pastirska pita,21,314,8,2,35 min,1 h 50 min,2 h 25 min,Meso,154.61 kCal
Oslič s krompirjem in zelenjavo iz pečice,11,103,6,1,10 min,45 min,55 min,Ribe in morski sadeži,83.65 kCal
Piščančji zrezki v gobovi omaki,10,249,6,1,10 min,30 min,40 min,Kosilo,127.03 kCal
Golaževa juha,12,217,6,1,20 min,1 h 25 min,1 h 45 min,Juhe in jedi na žlico,106.66 kCal
Limonine cheesecake rezine,15,343,9,2,30 min,50 min,1 h 20 min,Pecivo,320.66 kCal
Zelenjavna enolončnica s čičeriko,16,83,4,1,15 min,30 min,45 min,Brez mesa,98.36 kCal
Puhasti ameriški krofi,11,267,7,2,2 h 45 min,15 min,3 h 0 min,Sladice,365.91 kCal
Piščančja obara z zdrobovimi žličniki,15,356,7,1,15 min,1 h 0 min,1 h 15 min,Juhe in jedi na žlico,88.86 kCal
Kremna juha iz pečene cvetače,9,274,8,1,15 min,55 min,1 h 10 min,Juhe in jedi na žlico,64.23 kCal
Meso iz juhe v omaki,14,85,4,1,10 min,25 min,35 min,Kosilo,88.55 kCal
Telečji zrezki v čebulni omaki,9,106,6,1,10 min,1 h 0 min,1 h 10 min,Kosilo,87.1 kCal
Italijanski krompirjevi kroketi,8,291,8,1,40 min,1 h 0 min,1 h 40 min,Predjedi in prigrizki,121.04 kCal
Zapečeni njoki z bolonjsko omako,3,96,5,1,5 min,20 min,25 min,Na hitro,197.84 kCal
Salzburški žličniki,9,175,6,1,15 min,12 min,27 min,Sladice,218.8 kCal
Zapečeno kislo zelje s klobasami,10,151,5,1,10 min,50 min,1 h 0 min,Kosilo,193.44 kCal
Krhki flancati,11,159,4,2,50 min,20 min,1 h 10 min,Slovenska,341.01 kCal
Ričet s prekajenim svinjskim vratom,12,203,4,1,5 min,1 h 15 min,1 h 20 min,Juhe in jedi na žlico,178.01 kCal
Mehki krofi iz pečice,15,225,7,2,1 h 0 min,12 min,1 h 12 min,Pust,360.29 kCal
Pečeni piščanec v mleku,9,153,5,2,5 min,2 h 0 min,2 h 5 min,Kaj skuhati,175.27 kCal
Beneške miške z vanilijevo kremo,16,230,9,2,30 min,40 min,1 h 10 min,Sladice,311.04 kCal
Vratovina v čebulni omaki,9,271,7,1,10 min,40 min,50 min,Meso,144.26 kCal
Kruhova štruca (rolada),8,151,5,1,20 min,35 min,55 min,Priloge,217.82 kCal
Kvašen cmok z marmelado (germknödel),11,342,9,1,45 min,15 min,1 h 0 min,Sladice,359.83 kCal
Palačinka iz pečice,6,168,5,1,10 min,25 min,35 min,Kaj skuhati,243.75 kCal
"Solata z radičem, krompirjem in piščancem",8,156,6,1,10 min,30 min,40 min,Solate,135.76 kCal
Pečen piščanec in krompir v paradižnikovi omaki,10,213,6,1,10 min,55 min,1 h 5 min,Kosilo,125.02 kCal
Njoki v kremni omaki z lososom,9,172,6,1,2 min,20 min,22 min,Na hitro,140.04 kCal
Zapečene palačinke z lešnikovim nadevom,9,217,5,1,15 min,30 min,45 min,Sladice,404.75 kCal
Segedin golaž s češkimi cmoki,18,338,7,2,1 h 0 min,1 h 20 min,2 h 20 min,Kaj skuhati,187.38 kCal
Gratinirana cvetača,9,106,3,1,12 min,40 min,52 min,Zima,104.08 kCal
Čokoladne rezine z banano,14,247,7,2,40 min,25 min,1 h 5 min,Pecivo,412.22 kCal
Zapečeni skutino-špinačni cmoki (gnudi) v paradižnikovi omaki,17,217,10,1,15 min,35 min,50 min,Brez mesa,123.33 kCal
Karpati torta s sadjem,19,454,11,1,1 h 0 min,45 min,1 h 45 min,Sladice,262.36 kCal
Porova kremna juha,11,148,6,1,10 min,30 min,40 min,Juhe in jedi na žlico,152.41 kCal
Hitra mesna pita brez testa,11,109,4,1,15 min,30 min,45 min,Glavne jedi,205.98 kCal
Rafaelo krofi,23,445,11,2,2 h 0 min,30 min,2 h 30 min,Sladice,400.42 kCal
Zelenjavna juha s klobaso,14,144,4,1,10 min,27 min,37 min,Juhe in jedi na žlico,90.36 kCal
Svinjski ragu po italijansko,12,266,7,2,15 min,2 h 35 min,2 h 50 min,Glavne jedi,138.43 kCal
Topli sendvič s tuno,10,152,6,1,10 min,10 min,20 min,Na hitro,206.22 kCal
Limonin kolač z rikoto,11,157,6,1,10 min,55 min,1 h 5 min,Italijanska,298.09 kCal
Pečena jajca v začinjeni omaki s fižolom,11,234,6,1,10 min,40 min,50 min,Jajčne jedi,97.48 kCal
Hitro in sočno skutino pecivo,13,123,4,1,15 min,35 min,50 min,Sladice,267.22 kCal
Zapečena prosena kaša s suhimi slivami,9,147,3,1,15 min,1 h 5 min,1 h 20 min,Slovenska,161.12 kCal
Krompirjeva musaka,12,180,6,1,15 min,1 h 0 min,1 h 15 min,Kosilo,125.57 kCal
Hitre miške z jabolkom in rozinami,14,263,8,1,10 min,20 min,30 min,Sladice,256.47 kCal
Bananine rezine s skutino kremo,16,175,6,1,40 min,20 min,1 h 0 min,Sladice,208.71 kCal
Ajdov kruh z orehi,8,159,6,1,1 h 30 min,45 min,2 h 15 min,Slovenska,401.29 kCal
Hrustljavi zdrobovi kroketi,7,138,5,2,20 min,20 min,40 min,Priloge,196.58 kCal
Njoki z omako carbonara,8,151,4,1,5 min,20 min,25 min,Italijanska,381.77 kCal
Piščančji paprikaš s smetano,12,252,6,2,10 min,1 h 0 min,1 h 10 min,Glavne jedi,162.65 kCal
Čokoladno-kavni mousse,5,179,7,2,20 min,5 min,25 min,Sladice,472.39 kCal
Mlečno testo za pico,7,152,3,1,1 h 30 min,0 min,1 h 30 min,Italijanska,387.63 kCal
Hitro skutino pecivo brez moke,11,138,4,1,10 min,45 min,55 min,Zabava,183.47 kCal
Piščanec v smetanovi omaki,9,93,4,1,5 min,20 min,25 min,Na hitro,197.52 kCal
Milijonska juha,7,81,5,1,10 min,22 min,32 min,Juhe in jedi na žlico,112.32 kCal
Kruhovi cmoki s kremasto gobovo omako,18,356,8,2,15 min,30 min,45 min,Kosilo,232.11 kCal
Kokosovi razpokančki z limono,10,243,5,1,39 min,15 min,54 min,Božič in novo leto,301.16 kCal
Pečen losos s smetanovo omako,13,118,5,1,10 min,20 min,30 min,Božič in novo leto,228.2 kCal
Torta iz beljakov in pudinga,8,179,7,1,20 min,35 min,55 min,Sladice,370.68 kCal
Praznična sladica s penino (brez peke),6,123,5,1,15 min,7 min,22 min,Sladice,358.81 kCal
Sarma iz pečice,16,232,4,1,40 min,5 h 0 min,5 h 40 min,Kosilo,225.55 kCal
Pomarančne rezine z mascarponejem,14,260,9,1,40 min,35 min,1 h 15 min,Pecivo,270.07 kCal
Kvašeni pujski s hrenovkami,11,136,4,1,1 h 40 min,25 min,2 h 5 min,Zabava,345.15 kCal
Čokoladni piškoti s kremo,15,347,9,2,1 h 0 min,25 min,1 h 25 min,Božič in novo leto,508.94 kCal
Fileji postrvi v masleni česnovi omaki,8,243,6,1,10 min,15 min,25 min,Večerja,192.17 kCal
Božični punč,10,105,4,1,5 min,10 min,15 min,Pijača,350.6 kCal
