Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Sočna pečenka z zelenjavno omako,11,156,5,1,15 min,3 h 0 min,3 h 15 min,Meso,166.68 kCal
Praznični marmorni kolač,14,224,8,1,30 min,50 min,1 h 20 min,Sladice,283.2 kCal
Božična tortica v kozarcu (brez peke),12,241,6,1,30 min,10 min,40 min,Sladice,301 kCal
Njoki v smetanovi omaki s pršutom,7,140,5,1,5 min,15 min,20 min,Na hitro,117.54 kCal
Praznični marmorni kolač,14,224,8,1,30 min,50 min,1 h 20 min,Sladice,283.2 kCal
Slana božična drevesa,4,112,6,1,10 min,25 min,35 min,Video recepti,339.15 kCal
Zapečeno kislo zelje s piščancem (podvarak),11,215,5,1,5 min,2 h 0 min,2 h 5 min,Balkanska,111.37 kCal
Božični kolač s suhim sadjem,17,226,7,1,30 min,1 h 5 min,1 h 35 min,Božič in novo leto,382.47 kCal
Sončna skutina pogača (štajerska gibanica),17,225,8,2,1 h 30 min,50 min,2 h 20 min,Slovenska,200.25 kCal
Svinjska rolada z zeljem in slanino,10,254,7,1,15 min,1 h 45 min,2 h 0 min,Meso,167.47 kCal
Praznični cheesecake v kozarcu,8,109,4,1,20 min,0 min,20 min,Božič in novo leto,273.53 kCal
Tiramisu kroglice,8,186,6,1,1 h 0 min,0 min,1 h 0 min,Zabava,360.86 kCal
Sočna makova torta s čokolado,11,291,8,1,20 min,35 min,55 min,Sladice,421.85 kCal
Praznična sladica v kozarcu,14,342,10,1,2 h 20 min,15 min,2 h 35 min,Božič in novo leto,289.1 kCal
Široki rezanci s kremno orehovo omako,7,192,6,1,5 min,15 min,20 min,Na hitro,360.38 kCal
Svinjski medaljoni v kremni gobovi omaki,11,213,7,1,10 min,20 min,30 min,Na hitro,116.7 kCal
Kokosovi rogljički s čokolado,8,147,3,1,1 h 20 min,15 min,1 h 35 min,Božič in novo leto,469.53 kCal
Čokoladno-pomarančna smetanova torta,17,290,6,2,40 min,35 min,1 h 15 min,Zabava,278.08 kCal
Brezglutenski piškoti alfajores,9,164,7,1,30 min,8 min,38 min,Božič in novo leto,386.39 kCal
Brstični ohrovt z mandlji in čebulo,7,105,4,1,15 min,25 min,40 min,Zelenjava,107.39 kCal
Piškoti orehi,10,112,5,2,1 h 0 min,15 min,1 h 15 min,Pecivo,525.76 kCal
Tartiflette,9,252,8,1,10 min,1 h 10 min,1 h 20 min,Kuhinje,163.25 kCal
Snežne kepe z vanilijevo omako,9,224,6,2,30 min,15 min,45 min,Sladice,123.08 kCal
Miklavževo medeno pecivo,12,208,5,1,35 min,40 min,1 h 15 min,Sladice,312.72 kCal
Parklji,14,307,7,3,1 h 30 min,25 min,1 h 55 min,Slovenska,374.01 kCal
Mehki medenjaki z limonino glazuro,13,161,7,1,2 h 45 min,12 min,2 h 57 min,Božič in novo leto,359.19 kCal
Skutini (sirovi) štruklji z drobtinami,10,228,6,2,30 min,45 min,1 h 15 min,Slovenska,216.47 kCal
Pečeno kislo zelje s kotleti in klobasami,8,175,5,1,15 min,1 h 15 min,1 h 30 min,Zima,141.39 kCal
Lečina pečenka,28,125,5,1,15 min,1 h 0 min,1 h 15 min,Brez mesa,216.53 kCal
Sladko božično drevo iz listnatega testa,5,148,6,2,20 min,20 min,40 min,Božič in novo leto,320.17 kCal
Butterscotch puding,12,222,7,2,10 min,10 min,20 min,Sladice,379.78 kCal
Pečeno zelje s sirovo omako,8,149,6,1,5 min,45 min,50 min,Zelenjava,98.94 kCal
Azijska solata s teriyaki prelivom,19,122,4,1,25 min,0 min,25 min,Zdravo in vegi,62.64 kCal
Jabolčno pecivo s pudingom,15,200,5,1,20 min,25 min,45 min,Sladice,86.84 kCal
Vratovina s kislo repo in pire krompirjem iz pečice,15,178,8,1,15 min,1 h 5 min,1 h 20 min,Kosilo,103.08 kCal
Piškoti s kosmiči in jabolki,13,195,6,1,20 min,15 min,35 min,Sladice,315.53 kCal
Žličniki z jajcem,9,223,7,1,5 min,15 min,20 min,Brez mesa,278.34 kCal
Zrezki v omaki z ocvrtimi skutinimi kroglicami,19,199,7,1,10 min,1 h 20 min,1 h 30 min,Kaj skuhati,134.48 kCal
Pomarančni razpokančki,11,190,7,1,30 min,14 min,44 min,Božič in novo leto,395.58 kCal
Londonske rezine,11,168,4,1,1 h 15 min,25 min,1 h 40 min,Sladice,417.2 kCal
Masleni piškoti,7,148,7,1,30 min,10 min,40 min,Božič in novo leto,417.29 kCal
Grenadirmarš,6,95,6,1,10 min,40 min,50 min,Kosilo,145.14 kCal
Piščanec v omaki s kislo smetano in papriko,9,218,6,1,5 min,40 min,45 min,Kaj skuhati,155.68 kCal
Sladki krompir v pečici,5,122,5,1,10 min,35 min,45 min,Priloge,101.17 kCal
Rezanci alla Papalina,10,205,8,1,5 min,25 min,30 min,Na hitro,216.7 kCal
Zdravi mafini z jabolki,16,182,8,1,15 min,25 min,40 min,Sladice,162.68 kCal
Pečena prosena kaša z brusnicami in rozinami,12,208,6,1,10 min,50 min,1 h 0 min,Sladice,151.38 kCal
Sailsbury zrezek v gobovi omaki,18,314,9,1,15 min,15 min,30 min,Kosilo,192.05 kCal
Kremne rezine za lene gospodinje (z zdrobom),10,212,5,1,30 min,30 min,1 h 0 min,Sladice,247.64 kCal
Odlično testo za pico,5,138,4,1,20 min,0 min,20 min,Triki in nasveti,356.32 kCal
Kokosova babka s čokolado,15,337,11,3,1 h 50 min,50 min,2 h 40 min,Sladice,395.72 kCal
Venec s kakiji,12,176,6,1,10 min,1 h 0 min,1 h 10 min,Sladice,423.91 kCal
Bujta repa,10,260,5,2,15 min,1 h 20 min,1 h 35 min,Slovenska,168.64 kCal
Skutin zdrobov kolač z jabolki,13,220,7,1,15 min,50 min,1 h 5 min,Sladice,178.89 kCal
Fižolova enolončnica,16,171,4,1,15 min,1 h 10 min,1 h 25 min,Družinski recepti,65.17 kCal
Zdrav jabolčni drobljenec (crumble),10,187,7,1,5 min,10 min,15 min,Sladice,93.35 kCal
Rahli zdrobovi žličniki (knedlčki),5,168,4,1,25 min,15 min,40 min,Testenine in žita,327.78 kCal
Brizgani piškoti,10,172,7,1,40 min,10 min,50 min,Sladice,436.63 kCal
Pečena raca z jabolki,4,191,5,2,10 min,1 h 20 min,1 h 30 min,Martinovo,337.64 kCal
Mlinci s piščancem iz pečice,10,134,6,1,20 min,40 min,1 h 0 min,Kaj skuhati,148.43 kCal
Kvašeni orehovi štruklji,20,186,5,2,40 min,30 min,1 h 10 min,Slovenska,388.22 kCal
Dušeno rdeče zelje z jabolki,10,128,3,2,15 min,45 min,1 h 0 min,Vegetarijanstvo,53.01 kCal
Puranja rolada s kostanjevim nadevom,12,151,6,1,20 min,30 min,50 min,Martinovo,163.33 kCal
Dobri domači mlinci (pečeni v pečici),6,298,7,1,1 h 0 min,40 min,1 h 40 min,Testenine in žita,357.94 kCal
Zdrobov narastek,8,157,7,1,15 min,45 min,1 h 0 min,Sladice,320 kCal
Dušeno rdeče zelje s suhimi slivami,8,129,3,1,1 h 15 min,15 min,1 h 30 min,Martinovo,93.54 kCal
Česnov kruh s sirom,8,147,6,1,10 min,20 min,30 min,Predjedi in prigrizki,313.96 kCal
Pečena jajca po florentinsko,8,107,4,1,5 min,30 min,35 min,Vegetarijanstvo,160.79 kCal
Kakijeva rolada,11,260,8,1,1 h 0 min,15 min,1 h 15 min,Sladice,248.29 kCal
Damini poljubčki (piškoti baci di dama),6,224,7,1,2 h 40 min,25 min,3 h 5 min,Sladice,533.92 kCal
Kremna juha iz hokaido buče,8,176,5,1,10 min,40 min,50 min,Juhe in jedi na žlico,43.22 kCal
Nočne cimetove rolice,10,336,9,2,1 h 15 min,35 min,1 h 50 min,Pecivo,413.94 kCal
Toskanska fižolova enolončnica z ješprenjem,12,195,7,1,15 min,50 min,1 h 5 min,Juhe in jedi na žlico,187.95 kCal
Svinjski kotleti v čebulni omaki,10,116,4,1,10 min,20 min,30 min,Kosilo,145.92 kCal
Snickers kolački (cupcakes),20,343,11,2,41 min,30 min,1 h 11 min,Sladice,428.46 kCal
Buhtlji,12,249,9,1,1 h 30 min,40 min,2 h 10 min,Sladice,334.8 kCal
Čokoladni netopirčki,9,115,6,1,20 min,10 min,30 min,Noč čarovnic,275.04 kCal
Colcannon,6,146,3,1,10 min,40 min,50 min,Zima,119.45 kCal
Pečeno kislo zelje z mletim mesom in rižem,10,276,6,2,40 min,1 h 0 min,1 h 40 min,Jesen,126.34 kCal
Bučna torta,13,173,4,1,20 min,40 min,1 h 0 min,Jesen,172.76 kCal
Švedske princeske (semlor),15,369,8,2,2 h 0 min,15 min,2 h 15 min,Zima,412.9 kCal
Štefani pečenka,17,231,9,2,20 min,1 h 0 min,1 h 20 min,Slovenska,226.56 kCal
Kostanjeva krema z višnjami in belo čokolado,15,145,5,1,25 min,20 min,45 min,Sladice,191.71 kCal
Sirov burek,7,161,6,1,25 min,40 min,1 h 5 min,Balkanska,185.02 kCal
Omleta v pečici,9,135,5,1,5 min,45 min,50 min,Jajčne jedi,168.5 kCal
Česnova juha s krompirjem,10,213,7,1,5 min,35 min,40 min,Juhe in jedi na žlico,122.13 kCal
Sočen skutin narastek z rozinami,15,267,6,1,15 min,40 min,55 min,Sladice,163.44 kCal
Belgijski vaflji,10,158,7,1,15 min,20 min,35 min,Zajtrk,364.18 kCal
V pečici pečen kostanj,1,133,3,1,30 min,30 min,1 h 0 min,Jesen,213 kCal
Hitro čokoladno pecivo s skuto,13,93,6,1,15 min,45 min,1 h 0 min,Sladice,222.09 kCal
Ričet s prekajenim mesom,13,180,5,2,20 min,1 h 40 min,2 h 0 min,Slovenska,166.64 kCal
Jabolčne rožice,6,184,6,2,20 min,30 min,50 min,Sladice,227.73 kCal
Kinder rezine,9,210,8,1,4 h 50 min,0 min,4 h 50 min,Sladice,428.79 kCal
Skutin narastek z jabolki,13,123,5,1,15 min,40 min,55 min,Sladice,152.95 kCal
Granola s suhim sadjem,11,143,5,1,25 min,10 min,35 min,Domači pripravki,405.69 kCal
Ješprenjčkova rižota z gobami,10,186,4,2,15 min,1 h 0 min,1 h 15 min,Jesen,189.53 kCal
Nevidna jabolčna pita,13,141,5,1,15 min,40 min,55 min,Sladice,106.02 kCal
Pirin kruh brez gnetenja s semeni,6,251,6,1,15 min,45 min,1 h 0 min,Testenine in žita,342.14 kCal
Čija puding s karameliziranimi jabolki,11,164,5,1,25 min,5 min,30 min,Zdravo in vegi,187.18 kCal
Ješprenjčkova enolončnica z jurčki,18,248,6,1,15 min,55 min,1 h 10 min,Juhe in jedi na žlico,99.99 kCal
Bučni njoki z žajbljem,6,179,6,2,20 min,35 min,55 min,Jesen,103.51 kCal
Pečena svinjska ribica z medom in gorčico,6,159,4,1,5 min,30 min,35 min,Meso,114 kCal
Dušeno sladko zelje,10,145,3,1,12 min,35 min,47 min,Jesen,68.64 kCal
Pečene mesne kroglice s sirom in paradižnikovo omako,9,176,5,1,15 min,45 min,1 h 0 min,Kosilo,157.05 kCal
Jabolčna pita s kislo smetano,15,260,5,2,50 min,40 min,1 h 30 min,Jesen,352.01 kCal
Angelske solze,14,172,7,1,15 min,1 h 0 min,1 h 15 min,Pecivo,240.61 kCal
Česnovi polžki,12,280,6,1,1 h 10 min,30 min,1 h 40 min,Zabava,386.03 kCal
Ranch omaka,11,105,3,1,5 min,0 min,5 min,Omake,195.08 kCal
Piščančja jetrca v omaki,11,106,3,1,10 min,15 min,25 min,Na hitro,127.11 kCal
Jesenska ovsena kaša,8,85,4,1,10 min,7 min,17 min,Zdravo in vegi,126.81 kCal
Harmonika krompirček,3,136,5,2,20 min,40 min,1 h 0 min,Video recepti,69 kCal
Piščančja piccata,12,209,7,1,10 min,15 min,25 min,Meso,240.82 kCal
Goveji zrezki v gobovi omaki,8,192,4,1,10 min,1 h 40 min,1 h 50 min,Kosilo,177.78 kCal
Pica kocke,13,160,8,1,10 min,30 min,40 min,Večerja,244.49 kCal
Čokoladna torta z višnjami,9,300,10,1,13 min,50 min,1 h 3 min,Sladice,327.99 kCal
Dušena jabolka s praženimi lešniki in smetano,8,299,7,2,30 min,30 min,1 h 0 min,Sladice,128.6 kCal
Pečen fižol s feto,10,123,5,1,10 min,20 min,30 min,Kaj skuhati,110.95 kCal
Pecivo Louise,13,190,7,1,15 min,30 min,45 min,Pecivo,372.17 kCal
Piščanec z lisičkami in špinačo v smetanovi omaki,11,252,6,1,10 min,20 min,30 min,Kosilo,115.79 kCal
Prebranec s slanino,7,175,5,1,5 min,2 h 15 min,2 h 20 min,Balkanska,262.8 kCal
Ocvrte paprike s šunko in sirom,7,119,5,2,30 min,30 min,1 h 0 min,Kosilo,107.88 kCal
Pavlova s pečenimi hruškami,9,297,7,2,25 min,1 h 30 min,1 h 55 min,Jesen,189.87 kCal
Bučna rolada s kislo smetano,8,185,8,1,30 min,12 min,42 min,Brez glutena,259.54 kCal
Pica brez kvasa,5,103,4,1,25 min,0 min,25 min,Triki in nasveti,374.92 kCal
Pečen piščanec z zelenjavo in krompirjem,9,122,5,1,10 min,1 h 50 min,2 h 0 min,Kosilo,161.53 kCal
Čokoladna torta z mascarpone kremo,14,265,9,2,30 min,25 min,55 min,Torta,406.85 kCal
Polpeti s sladkim krompirjem (pečeni v pečici),8,136,5,1,15 min,30 min,45 min,Zdravo in vegi,213.08 kCal
Enolončnica s krompirjem in koruzo,9,143,4,1,10 min,25 min,35 min,Juhe in jedi na žlico,82.82 kCal
Testenine s pečeno feto,7,266,8,1,5 min,40 min,45 min,Testenine in žita,156.95 kCal
Jogurtovo pecivo s slivami,10,164,5,1,15 min,40 min,55 min,Poletje,211.09 kCal
Slastna jabolčna pita iz pekača,15,242,5,2,50 min,45 min,1 h 35 min,Jesen,230.01 kCal
"Palačinke s skuto, jabolki in cimetom",9,121,4,1,10 min,15 min,25 min,Sladice,136.57 kCal
Bučni pire,1,114,3,1,15 min,45 min,1 h 0 min,Jesen,26 kCal
Ombolo v testu,12,180,9,2,1 h 0 min,30 min,1 h 30 min,Meso,267.46 kCal
Pasulj na hitro,13,134,6,1,5 min,30 min,35 min,Juhe in jedi na žlico,198.05 kCal
Čokoladni piškoti z Nutello,9,234,7,1,1 h 0 min,15 min,1 h 15 min,Sladice,422.07 kCal
Pečen svinjski hrbet s česnom,8,83,3,1,10 min,1 h 15 min,1 h 25 min,Kosilo,141.6 kCal
Mandljeva torta Ikea,9,314,10,2,30 min,50 min,1 h 20 min,Sladice,427.49 kCal
Mlečni riž,6,97,3,1,5 min,25 min,30 min,Slovenska,399.26 kCal
Krompirjeva zloženka z mletim mesom in paradižnikom,11,188,5,2,10 min,1 h 0 min,1 h 10 min,Kosilo,118.54 kCal
Čokoladni browniji brez slabe vesti,13,188,8,1,15 min,37 min,52 min,Veganstvo,415.59 kCal
Klasična pizza,12,133,5,1,50 min,15 min,1 h 5 min,Kaj skuhati,355.44 kCal
Cheesecake (sirova torta) s slivami,16,200,5,1,20 min,1 h 10 min,1 h 30 min,Jesen,275.05 kCal
Sladka zvita pita iz vlečenega testa (soufra),10,190,7,1,15 min,45 min,1 h 0 min,Sladice,295.66 kCal
Klasična pizza,12,133,5,1,50 min,15 min,1 h 5 min,Kaj skuhati,355.44 kCal
Jabolčna pita naših babic,12,256,4,1,45 min,50 min,1 h 35 min,Jesen,205.04 kCal
Piščančji paprikaš z bučo,11,260,6,1,15 min,55 min,1 h 10 min,Kosilo,118.28 kCal
Zeljne krpice,11,267,7,2,45 min,35 min,1 h 20 min,Kosilo,182.47 kCal
Ocvrt stročji fižol,7,152,4,1,15 min,30 min,45 min,Poletje,146.29 kCal
Drobnjakove palačinke s šunko in smetanovim namazom,13,255,5,1,20 min,20 min,40 min,Kosilo,195.1 kCal
"Rižota s piščancem, papriko in paradižnikom",10,175,4,1,12 min,40 min,52 min,Kosilo,161.54 kCal
Pljukanci z gobovo omako,12,241,7,1,40 min,20 min,1 h 0 min,Testenine in žita,162.43 kCal
Polnjena svinjska ribica s pečenim krompirjem,10,166,7,2,30 min,30 min,1 h 0 min,Kosilo,165.83 kCal
Zapečene tortilje s piščancem,12,159,6,1,20 min,20 min,40 min,Kaj skuhati,161.81 kCal
Hladna polnjena paprika,9,116,5,1,30 min,0 min,30 min,Predjedi in prigrizki,136.78 kCal
Toskanska paradižnikova juha s kruhom (Pappa al Pomodoro),8,236,6,1,15 min,53 min,1 h 8 min,Juhe in jedi na žlico,58.35 kCal
Jogurtove rezine z bezgom in jagodami,13,267,8,1,45 min,30 min,1 h 15 min,Pecivo,150.79 kCal
Počasi pečeno svinjsko pleče s papriko,9,127,5,1,15 min,2 h 50 min,3 h 5 min,Meso,152.07 kCal
Čokoladni krofki,15,103,6,1,15 min,30 min,45 min,Sladice,440.31 kCal
Bučkini polpeti s sirom in zelenjavo,13,121,5,1,35 min,15 min,50 min,Zelenjava,89.33 kCal
Narastek z ajdovo kašo in piščancem,8,74,3,1,10 min,1 h 0 min,1 h 10 min,Video recepti,225.42 kCal
Gibanica na hitro ali zmečkana sirnica,10,204,7,1,15 min,45 min,1 h 0 min,Balkanska,186.21 kCal
Vegi 'tunin' namaz,17,90,6,1,15 min,0 min,15 min,Namazi,106.18 kCal
Džuveč riž,13,159,4,1,10 min,35 min,45 min,Balkanska,111.86 kCal
Ratatouille s sirovo omako,17,161,5,1,20 min,30 min,50 min,Zelenjava,108.14 kCal
Piščanec s papriko in rižem v pečici,12,204,6,1,10 min,55 min,1 h 5 min,Kaj skuhati,115.7 kCal
Kvašene kumare,12,245,6,1,10 min,0 min,10 min,Domači pripravki,155.56 kCal
Čokoladna lazanja,11,144,5,1,30 min,0 min,30 min,Sladice,396.37 kCal
Stročji fižol v omaki,7,205,6,1,15 min,40 min,55 min,Poletje,45.47 kCal
Borovničeva pita,14,413,10,2,1 h 30 min,1 h 5 min,2 h 35 min,Sladice,269.34 kCal
Tunin narastek s skuto in sirom,17,276,10,1,15 min,45 min,1 h 0 min,Glavne jedi,128.21 kCal
Tiramisu rolada,8,144,7,1,30 min,0 min,30 min,Sladice,351.52 kCal
Riževa skleda z zelenjavo in avokadovim prelivom,21,144,5,1,10 min,20 min,30 min,Fit,182.59 kCal
Svinjski zrezki v omaki z ajvarjem,9,116,5,1,10 min,25 min,35 min,Meso,125.26 kCal
Njoki po sorentinsko,12,398,6,2,45 min,50 min,1 h 35 min,Italijanska,150.51 kCal
Piščančje kroglice v omaki s papriko,14,231,6,1,10 min,50 min,1 h 0 min,Kosilo,96.69 kCal
Namaz iz belega fižola in pečenega česna,8,206,3,1,10 min,50 min,1 h 0 min,Namazi,215.76 kCal
Pistacijeva rolada z malinami,10,282,8,2,40 min,10 min,50 min,Pecivo,343.09 kCal
Sladek bučkin kruh z lešniki,10,171,6,1,10 min,55 min,1 h 5 min,Pecivo,282.58 kCal
Hitro kokosovo pecivo,18,207,7,1,30 min,50 min,1 h 20 min,Sladice,374.26 kCal
Pohane bučke,7,197,7,1,45 min,30 min,1 h 15 min,Brez mesa,142.81 kCal
Pečene breskve s hrustljavim nadevom,7,118,5,1,10 min,20 min,30 min,Zdravo in vegi,167.49 kCal
Bučkini njoki v paradižnikovi omaki,10,185,7,1,10 min,20 min,30 min,Brez mesa,185.33 kCal
Mediteranski wrap,19,133,5,1,15 min,15 min,30 min,Na hitro,101.91 kCal
Hitri narastek z bučkami in krompirjem,10,148,6,1,15 min,40 min,55 min,Kosilo,107.21 kCal
Marelična marmelada brez sladkorja,1,104,4,1,30 min,40 min,1 h 10 min,Domači pripravki,48 kCal
Čokoladni mafini z malinami,22,168,9,1,15 min,32 min,47 min,Brez glutena,204.19 kCal
Poletna testeninska solata,11,116,5,1,15 min,15 min,30 min,Solate,224.19 kCal
Mousse z belo čokolado in likerjem,5,140,5,1,10 min,5 min,15 min,Sladice,390.76 kCal
Poletna zelenjavna lazanja z bučkami,9,140,5,1,40 min,55 min,1 h 35 min,Brez mesa,186.68 kCal
Pecivo s kislo smetano in marelicami,11,192,8,1,15 min,45 min,1 h 0 min,Sladice,207.11 kCal
Tortelini v smetanovi omaki z gobami in šunko,8,136,7,1,10 min,15 min,25 min,Na hitro,232.85 kCal
Toskanska bučkina pita,9,154,5,1,10 min,50 min,1 h 0 min,Zelenjava,136.98 kCal
Krompirjeva poletna solata,11,167,5,1,15 min,35 min,50 min,Piknik in žar,79.09 kCal
Malinove rezine s pudingom,15,171,5,1,15 min,39 min,54 min,Zdravo in vegi,218.85 kCal
Hitro pecivo z jagodno marmelado,9,115,6,1,15 min,45 min,1 h 0 min,Pecivo,366.16 kCal
Testenine z rakci in špinačo iz ene ponve,15,192,6,1,5 min,25 min,30 min,Na hitro,113.65 kCal
Tzatziki omaka s feto,9,130,3,1,20 min,0 min,20 min,Poletje,61.89 kCal
Šakšuka,12,186,5,1,10 min,45 min,55 min,Kuhinje,100.94 kCal
Solata s hrustljavim piščancem,11,152,7,1,25 min,20 min,45 min,Solate,96.83 kCal
Piščančja stegna v kremni omaki z gobami in špinačo,11,239,5,1,10 min,30 min,40 min,Kaj skuhati,129.69 kCal
Pavlova rolada,8,328,9,1,35 min,25 min,1 h 0 min,Sladice,195.16 kCal
"Enolončnica z mletim mesom, papriko in krompirjem",15,236,6,1,10 min,45 min,55 min,Juhe in jedi na žlico,110.57 kCal
Puhaste ameriške palačinke,8,176,4,1,15 min,20 min,35 min,Sladice,334.6 kCal
Klafuti (clafoutis) s češnjami,11,177,5,1,20 min,40 min,1 h 0 min,Sladice,151.39 kCal
Pisana poletna solata s čičeriko,10,100,4,1,20 min,0 min,20 min,Fit,156.55 kCal
Roladna torta z mascarponejem in gozdnimi sadeži,13,247,11,2,40 min,23 min,1 h 3 min,Sladice,226.48 kCal
Naan kruh s česnom,12,239,7,1,1 h 25 min,35 min,2 h 0 min,Kuhinje,415.55 kCal
Omleta z bučkami in panceto,10,185,5,1,15 min,20 min,35 min,Kaj skuhati,163.05 kCal
Čokoladni mousse z jagodami,11,138,6,1,15 min,50 min,1 h 5 min,Sladice,327.05 kCal
Sladke sultanove sarme (paša lokum),10,164,8,2,30 min,5 min,35 min,Pecivo,223.75 kCal
Krhki žepki s kislo smetano in jagodno marmelado,13,197,7,1,30 min,50 min,1 h 20 min,Pecivo,286.56 kCal
Češnjev cheesecake v kozarcu,9,207,5,1,10 min,18 min,28 min,Sladice,284.06 kCal
Piščančja obara s smetanovimi žličniki,21,230,9,1,10 min,45 min,55 min,Juhe in jedi na žlico,146.72 kCal
Testenine s tunino omako s smetano,8,113,6,1,5 min,15 min,20 min,Na hitro,275.19 kCal
Sočni piščančji fileji z zelenjavo iz pečice,11,196,4,1,15 min,30 min,45 min,Kosilo,117.26 kCal
Tofujevi hrustavčki,16,118,5,1,15 min,30 min,45 min,Brez mesa,213.29 kCal
Gratinirane testenine s tuno,10,220,7,1,5 min,35 min,40 min,Kaj skuhati,152.93 kCal
Pražen riž z zelenjavo in jajcem,9,221,8,1,10 min,25 min,35 min,Testenine in žita,168.63 kCal
Špargljeva juha,8,188,6,1,10 min,40 min,50 min,Zelenjava,61.03 kCal
Polnjene bučke z ajdovo kašo,14,111,7,1,20 min,30 min,50 min,Brez mesa,119.22 kCal
Kokosov biskvit s kislo smetano,13,130,5,1,10 min,20 min,30 min,Pecivo,259.53 kCal
Cheesecake brez peke z jagodami (iz MasterChef Slovenija),14,229,7,1,20 min,25 min,45 min,MasterChef,298.96 kCal
Nemški cheesecake (iz MasterChef Slovenija),12,161,5,1,44 min,1 h 20 min,2 h 4 min,MasterChef,251.12 kCal
Newyorški cheesecake (iz MasterChef Slovenja),12,230,8,1,15 min,1 h 5 min,1 h 20 min,MasterChef,346.48 kCal
Skutina torta s čokoladnim 'pokrovom' (brez testa),8,116,5,1,15 min,50 min,1 h 5 min,Pecivo,221.77 kCal
Skutino pecivo z borovnicami,12,143,6,1,15 min,50 min,1 h 5 min,Sladice,211 kCal
Lečina palačinka,10,96,3,1,7 min,8 min,15 min,Zdravo in vegi,338.94 kCal
Oopsie kruh,4,86,2,1,10 min,25 min,35 min,Brez glutena,204.77 kCal
Piščančji frikase,12,244,6,1,10 min,55 min,1 h 5 min,Meso,130.45 kCal
Kuskus z bučkami in piščancem,10,178,5,1,10 min,15 min,25 min,Na hitro,190.64 kCal
Zapečen mladi krompir s skuto in kislo smetano,8,204,4,1,10 min,50 min,1 h 0 min,Kosilo,84.77 kCal
Polenta z baziliko,5,88,4,1,10 min,5 min,15 min,Priloge,68.09 kCal
Hitri zavitki s šparglji in pršutom,6,120,6,1,15 min,15 min,30 min,Piknik in žar,125.19 kCal
Čokoladna torta z gozdnimi sadeži,22,361,10,1,1 h 0 min,30 min,1 h 30 min,Sladice,246.28 kCal
Pica polžki iz kvašenega testa,11,160,7,1,1 h 15 min,20 min,1 h 35 min,Predjedi in prigrizki,358.46 kCal
Cheesecake z limono in mascarponejem,11,269,6,1,15 min,1 h 8 min,1 h 23 min,Sladice,336.7 kCal
Krompirjev narastek z jajci in šunko,8,145,7,1,25 min,1 h 20 min,1 h 45 min,Kosilo,108.55 kCal
Rigatoni z mesom pečenice in zelenjavno omako,15,92,6,1,10 min,30 min,40 min,MasterChef,42.91 kCal
Velikonočna čokoladna pletenica,20,361,8,3,2 h 50 min,35 min,3 h 25 min,Velika noč,416.72 kCal
Potratna potica s čokolado,37,535,12,3,1 h 40 min,1 h 35 min,3 h 15 min,Sladice,347.35 kCal
Skutini njoki s šparglji,13,138,6,1,20 min,15 min,35 min,Na hitro,144.54 kCal
Pecivo s pudingom in jagodami,15,226,8,1,30 min,45 min,1 h 15 min,Sladice,219.51 kCal
Polpeti iz govedine iz juhe,9,126,4,1,10 min,20 min,30 min,Kosilo,128.16 kCal
Enolončnica s proseno kašo,13,211,8,1,10 min,45 min,55 min,Juhe in jedi na žlico,134.86 kCal
Jogurtova torta z borovnicami (brez peke),13,368,9,1,30 min,15 min,45 min,Sladice,236.58 kCal
Bananini mafini z orehi,10,152,6,1,10 min,25 min,35 min,Sladice,306.26 kCal
Zelenjavna enolončnica z naanom,23,167,7,1,15 min,25 min,40 min,MasterChef,170.74 kCal
Vanilijeva torta z jagodami,13,262,8,1,45 min,25 min,1 h 10 min,Torta,298.65 kCal
Piščančji zrezki v parmezanovi omaki s polentno prilogo,11,209,8,1,10 min,25 min,35 min,Kosilo,114.37 kCal
Vlivanci s kremno špargljevo omako,12,267,9,1,15 min,20 min,35 min,Pomlad,177.48 kCal
Dušen regrat z jajci,5,87,4,1,10 min,10 min,20 min,Pomlad,134.69 kCal
Pomladno pecivo z jagodami,12,150,7,1,15 min,30 min,45 min,Sladice,202.13 kCal
Cvetačni njoki z lososom,12,271,9,1,10 min,29 min,39 min,MasterChef,128.7 kCal
Domače testenine s škampi in sipino čipko,18,193,9,1,10 min,28 min,38 min,MasterChef,206.23 kCal
Kruhov narastek s šunko in sirom,8,143,5,1,15 min,50 min,1 h 5 min,Zajtrk,225.1 kCal
Testenine z brokolijevim pestom,7,102,4,1,10 min,12 min,22 min,Zdravo in vegi,282.31 kCal
Preprosta jagodna sladica v kozarcu,12,171,5,1,20 min,0 min,20 min,Sladice,165.63 kCal
Špinačni žličniki z zdrobom,10,291,8,1,25 min,20 min,45 min,Brez mesa,195.38 kCal
